name,link,image_url,price,rating,location,facilities,description
"Luli Homestay - 40m Newly Built House, Luxury Location, Quiet Place",https://www.booking.com/hotel/vn/luli-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/653117961.webp?k=0f280b18057316d54f8ba797351afe70013c93a867976f3ff241c35b896c879b&o=,N/A,"Đạt điểm 7,67,6Tốt 28 đánh giá","Quận Ba Đình, Hà Nội",,28 đánh giá thật
Khách sạn epic,https://www.booking.com/hotel/vn/khach-san-epic.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/674047004.webp?k=6a6ec5f807a5daab6ad125c567f3f83f6185bc61297129db121ac7b34ac93366&o=,N/A,N/A,Hà Nội,,Phòng ngủ 1
Stay near Thun town center,https://www.booking.com/hotel/vn/stay-near-thun-town-center.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/674042991.webp?k=794b25c5b3f6b171b66bf465cf5149417a72ab138d2f83d6e23600aeb409deb7&o=,N/A,N/A,Hà Nội,,1 giường sofa
Luxury villa,https://www.booking.com/hotel/vn/luxury-villa-dong-da.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/674039671.webp?k=51687d623e80e4dc95b0f6ab2bfd6f5ee76e91bd8ef5b289f842a18b41147463&o=,N/A,N/A,Hà Nội,,1 giường đôi
Homestay - Timescity - Park Hill Ha Noi,https://www.booking.com/hotel/vn/homestay-timescity-park-hill-ha-noi.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673339629.webp?k=15be190e886b9b0ec360762f33153d0585599aec9374bb3e1a8ff6fb39d8b8f9&o=,N/A,N/A,"Quận Hai Bà Trưng, Hà Nội",,1 giường đôi
Quiet place with beautiful nature,https://www.booking.com/hotel/vn/quiet-place-with-beautiful-nature.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673263742.webp?k=4b1de5c201d6242b64a697613548a444e44ef6781d987c3b2a5e372501f999f9&o=,N/A,N/A,"Quận Đống Đa, Hà Nội",,1 giường đôi
Lily's House,https://www.booking.com/hotel/vn/lilys-house-hai-ba-trung.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673967264.webp?k=9dec14e04a0bb3dd3c475282e64aa36dbb4ef1ccf34ef8961a4640836a860047&o=,N/A,N/A,Hà Nội,,Phòng ngủ
"173 Hoàng Hoa Thám, Ba Đình, Hà Nội",https://www.booking.com/hotel/vn/173-hoang-hoa-tham-ba-dinh-ha-noi.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673828747.webp?k=4f4f62b37df3e5cb9893b5e60cbdc2046ecd4b5e5ce84f1896d95feb87e76542&o=,N/A,N/A,"Quận Ba Đình, Hà Nội",,1 giường đôi
Élan District,https://www.booking.com/hotel/vn/elan-district.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673262245.webp?k=fdd69599192be8e0049e60e1d31b756d855dec7baabd128d1e2d4aadf2395386&o=,N/A,N/A,"Quận Hai Bà Trưng, Hà Nội",,1 giường đôi
Château Lumière,https://www.booking.com/hotel/vn/chateau-lumiere.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673259936.webp?k=69d1b443b54f6f151aae73a32fb373bd5ac961cf071a40f562855faef6ee2f3b&o=,N/A,N/A,"Quận Hai Bà Trưng, Hà Nội",,Nhấp vào đây để xem thêm khách sạn và chỗ nghỉ gần các địa danh nổi tiếng ở Hà Nội
Hotel De La Seine,https://www.booking.com/hotel/vn/de-la-seine.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/215166946.webp?k=df01b7012c0be525296b49e9614124b4bdc0099d2e2385576bbf21bdf354ed8f&o=,N/A,"Đạt điểm 9,29,2Tuyệt hảo 132 đánh giá","Quận Đống Đa, Hà Nội",,132 đánh giá thật
G-Apartment & Hotel,https://www.booking.com/hotel/vn/g-apartment-amp.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/673321912.webp?k=65c2d25cbfbaedc8b583e3ca9b84c48f369d2ea5c2f318598acccb920f11f154&o=,N/A,N/A,"Quận Ba Đình, Hà Nội",,1 giường đôi cực lớn
