extraction_method,extraction_timestamp,url
unified,2025-04-17 10:46:23,https://www.tripadvisor.com/AttractionProductReview-g293924-d26312864-Ninh_Binh_Day_Tour_To_Visit_Hoa_Lu_Trang_An_Tam_Coc_Mua_Cave-Hanoi.html
unified,2025-04-17 10:46:45,https://www.tripadvisor.com/AttractionProductReview-g293924-d25150183-Highlight_Ninh_Binh_Full_Day_Tour_Tam_Coc_Boat_Mua_Cave_Hoa_Lu-Hanoi.html
unified,2025-04-17 10:47:07,https://www.tripadvisor.com/AttractionProductReview-g293924-d24125172-Cozy_Bay_Halong_5_Star_Day_Cruise_Buffet_Cave_Kayak_Swimming-Hanoi.html
